timestamp,temp,humidity
2024-11-06 17:23:02, ['22.56', '59.00']
2024-11-06 17:24:02, ['22.50', '59.00']
2024-11-06 17:25:02, ['22.58', '59.00']
2024-11-06 17:26:02, ['22.58', '59.00']
2024-11-06 17:27:02, ['22.58', '59.00']
2024-11-06 17:28:02, ['22.58', '59.00']
2024-11-06 17:29:02, ['22.39', '60.00']
2024-11-06 17:30:02, ['22.50', '59.00']
2024-11-06 17:31:03, ['22.58', '59.00']
2024-11-06 17:32:03, ['22.58', '59.00']
2024-11-06 17:33:03, ['22.58', '60.00']
2024-11-06 17:34:03, ['22.58', '60.00']
2024-11-06 17:35:03, ['22.58', '60.00']
2024-11-06 17:36:03, ['22.58', '60.00']
2024-11-06 17:37:04, ['22.58', '59.00']
2024-11-06 17:38:04, ['22.58', '60.00']
2024-11-06 17:39:00, ['23.33', '59.00']
2024-11-06 17:40:00, ['23.37', '59.00']
2024-11-06 17:41:00, ['23.39', '60.00']
2024-11-06 17:42:00, ['22.58', '59.00']
2024-11-06 17:43:01, ['22.58', '60.00']
2024-11-06 17:44:01, ['22.58', '60.00']
2024-11-06 17:45:01, ['22.58', '60.00']
2024-11-06 17:46:01, ['22.58', '60.00']
2024-11-06 17:47:01, ['22.60', '60.00']
2024-11-06 17:48:02, ['23.08', '60.00']
2024-11-06 17:49:02, ['22.58', '60.00']
2024-11-06 17:50:02, ['22.58', '60.00']
2024-11-06 17:51:02, ['23.34', '61.00']
2024-11-06 17:52:03, ['23.13', '60.00']
2024-11-06 17:53:04, ['23.08', '60.00']
2024-11-06 17:54:04, ['23.13', '60.00']
2024-11-06 17:55:04, ['22.60', '60.00']
2024-11-06 17:56:04, ['22.58', '60.00']
2024-11-06 17:57:00, ['22.58', '60.00']
2024-11-06 17:58:01, ['23.08', '60.00']
2024-11-06 17:59:01, ['23.08', '61.00']
2024-11-06 18:00:02, ['23.08', '61.00']
2024-11-06 18:01:02, ['23.10', '61.00']
2024-11-06 18:02:02, ['23.28', '61.00']
2024-11-06 18:03:03, ['23.39', '61.00']
2024-11-06 18:04:03, ['23.23', '61.00']
2024-11-06 18:05:04, ['23.36', '61.00']
2024-11-06 18:06:04, ['23.39', '61.00']
2024-11-06 18:07:00, ['23.37', '61.00']
2024-11-06 18:08:00, ['23.39', '61.00']
2024-11-06 18:09:00, ['23.37', '60.00']
2024-11-06 18:10:01, ['23.34', '61.00']
2024-11-06 18:11:01, ['23.39', '61.00']
2024-11-06 18:12:02, ['23.39', '60.00']
2024-11-06 18:13:02, ['23.08', '60.00']
2024-11-06 18:14:02, ['23.08', '60.00']
2024-11-06 18:15:03, ['22.58', '60.00']
2024-11-06 18:16:03, ['22.55', '60.00']
2024-11-06 18:17:03, ['22.58', '60.00']
2024-11-06 18:18:00, ['22.56', '60.00']
2024-11-06 18:19:00, ['22.56', '60.00']
2024-11-06 18:20:00, ['22.58', '60.00']
2024-11-06 18:21:00, ['22.58', '60.00']
2024-11-06 18:22:00, ['22.58', '60.00']
2024-11-06 18:23:01, ['22.58', '61.00']
2024-11-06 18:24:02, ['22.58', '61.00']
2024-11-06 18:25:02, ['22.60', '61.00']
2024-11-06 18:26:02, ['22.58', '61.00']
2024-11-06 18:27:03, ['22.61', '61.00']
